attScalar, iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
0.8,10,test,156,758,99,701,0.148774795799,0.611764705882,0.18203033839,0.280575539568
0.8,11,train,762,2498,467,2203,0.207251264755,0.620016273393,0.256998313659,0.363376251788
0.8,11,test,208,718,139,649,0.202450408401,0.599423631124,0.242707117853,0.345514950166
0.8,12,train,1139,2279,686,1826,0.307757166948,0.624109589041,0.384148397976,0.475574112735
0.8,12,test,306,654,203,551,0.296966161027,0.601178781925,0.357059509918,0.448023426061
0.8,13,train,1139,2305,660,1826,0.303372681282,0.633129516398,0.384148397976,0.478169605374
0.8,13,test,305,655,202,552,0.295799299883,0.60157790927,0.355892648775,0.447214076246
0.8,14,train,1304,2229,736,1661,0.344013490725,0.639215686275,0.439797639123,0.521078921079
0.8,14,test,357,623,234,500,0.344807467911,0.604060913706,0.416569428238,0.493093922652
0.8,15,train,1337,2223,742,1628,0.350590219224,0.643097643098,0.450927487352,0.53013481364
0.8,15,test,362,617,240,495,0.351225204201,0.601328903654,0.422403733956,0.496230294722
0.8,16,train,1363,2239,726,1602,0.352276559865,0.652465294399,0.459696458685,0.539374752671
0.8,16,test,374,614,243,483,0.359976662777,0.606158833063,0.436406067678,0.507462686567
0.8,17,train,1394,2243,722,1571,0.356829679595,0.658790170132,0.470151770658,0.548710883684
0.8,17,test,378,616,241,479,0.361143523921,0.610662358643,0.441073512252,0.512195121951
0.8,18,train,1455,2211,754,1510,0.372512647555,0.658669081032,0.490725126476,0.562427522227
0.8,18,test,393,604,253,464,0.376896149358,0.608359133127,0.458576429405,0.522954091816
0.8,19,train,1459,2249,716,1506,0.366779089376,0.670804597701,0.492074198988,0.567704280156
0.8,19,test,387,608,249,470,0.371061843641,0.608490566038,0.451575262544,0.51841929002
0.8,20,train,1473,2270,695,1492,0.365598650927,0.67942804428,0.496795952782,0.573933372297
0.8,20,test,388,610,247,469,0.370478413069,0.611023622047,0.452742123687,0.520107238606
0.8,21,train,1434,2312,653,1531,0.351939291737,0.687110685194,0.483642495784,0.567695961995
0.8,21,test,374,627,230,483,0.352392065344,0.619205298013,0.436406067678,0.511978097194
0.8,22,train,1442,2337,628,1523,0.349072512648,0.696618357488,0.486340640809,0.572790466733
0.8,22,test,380,631,226,477,0.353558926488,0.627062706271,0.443407234539,0.519480519481
0.8,23,train,1413,2372,593,1552,0.338279932546,0.704386839482,0.476559865093,0.568497284249
0.8,23,test,370,645,212,487,0.339556592765,0.635738831615,0.431738623104,0.51424600417
0.8,24,train,1341,2435,530,1624,0.315514333895,0.716729021913,0.452276559865,0.55459057072
0.8,24,test,348,665,192,509,0.315052508751,0.644444444444,0.406067677946,0.498210450966
0.8,25,train,1365,2419,546,1600,0.322259696459,0.714285714286,0.460370994941,0.559885151764
0.8,25,test,358,659,198,499,0.3243873979,0.643884892086,0.417736289382,0.506723283793
0.8,26,train,1495,2369,596,1470,0.352613827993,0.714968914395,0.504215851602,0.591376582278
0.8,26,test,402,642,215,455,0.359976662777,0.651539708266,0.469078179697,0.545454545455
0.8,27,train,1584,2081,884,1381,0.416188870152,0.641815235008,0.534232715008,0.583103257869
0.8,27,test,440,572,285,417,0.422987164527,0.606896551724,0.513418903151,0.556257901391
0.8,28,train,1209,2363,602,1756,0.305396290051,0.667586968526,0.407757166948,0.506281407035
